Total numbers of ways picking 5 fruit/fruits is : 11628.0 

probability table
f( 0 , 0 ) = 0.0005159958720330237 

f( 0 , 1 ) = 0.007739938080495356 

f( 0 , 2 ) = 0.025799793601651185 

f( 0 , 3 ) = 0.025799793601651185 

f( 0 , 4 ) = 0.007739938080495356 

f( 0 , 5 ) = 0.0005159958720330237 

f( 1 , 0 ) = 0.009029927760577915 

f( 1 , 1 ) = 0.07223942208462332 

f( 1 , 2 ) = 0.13544891640866874 

f( 1 , 3 ) = 0.07223942208462332 

f( 1 , 4 ) = 0.009029927760577915 

f( 1 , 5 ) = 0.0 

f( 2 , 0 ) = 0.03611971104231166 

f( 2 , 1 ) = 0.16253869969040247 

f( 2 , 2 ) = 0.16253869969040247 

f( 2 , 3 ) = 0.03611971104231166 

f( 2 , 4 ) = 0.0 

f( 2 , 5 ) = 0.0 

f( 3 , 0 ) = 0.04514963880288958 

f( 3 , 1 ) = 0.10835913312693499 

f( 3 , 2 ) = 0.04514963880288958 

f( 3 , 3 ) = 0.0 

f( 3 , 4 ) = 0.0 

f( 3 , 5 ) = 0.0 

f( 4 , 0 ) = 0.01805985552115583 

f( 4 , 1 ) = 0.01805985552115583 

f( 4 , 2 ) = 0.0 

f( 4 , 3 ) = 0.0 

f( 4 , 4 ) = 0.0 

f( 4 , 5 ) = 0.0 

f( 5 , 0 ) = 0.001805985552115583 

f( 5 , 1 ) = 0.0 

f( 5 , 2 ) = 0.0 

f( 5 , 3 ) = 0.0 

f( 5 , 4 ) = 0.0 

f( 5 , 5 ) = 0.0 

f( 6 , 0 ) = 0.0 

f( 6 , 1 ) = 0.0 

f( 6 , 2 ) = 0.0 

f( 6 , 3 ) = 0.0 

f( 6 , 4 ) = 0.0 

f( 6 , 5 ) = 0.0 

E(X,Y)=  2.456140350877193 

uX =  1.842105263157895 

uY =  1.5789473684210527 



 Covariance = (E(X,Y) - uX*uY) :  -0.45244690674053567 

